output
"send a signal `signal.SIGUSR1` to the current process: signal.signal(signal.SIGUSR1, signal.SIG_IGN)<|endoftext|>"
decode a hex string '4a4b4c' to UTF-8.: binascii.a2b_hex('4a4b4c')<|endoftext|>
check if all elements in list `myList` are identical: all(e == e for e in myList)<|endoftext|>
"format number of spaces between strings `Python`, `:` and `Very Good` to be `20`: print(('Python' + ':'+ 'Very<|endoftext|>"
:<|endoftext|>
"get rid of None values in dictionary `kwargs`: {k: v for k, v in list(kwargs.items()) if v is not None}<|endoftext|>"
"get rid of None values in dictionary `kwargs`: [k for k, v in list(kwargs.items()) if v is not None]<|endoftext|>"
"capture final output of a chain of system commands `ps -ef | grep something | wc -l`: subprocess.check_output(['ps', '-ef', '|', 'grep','something', '|', 'wc', '-l'])<|endoftext|>"
"concatenate a list of strings `['a', 'b', 'c']`: """""""""""".join('a', 'b', 'c')<|endoftext|>"
"find intersection data between series `s1` and series `s2`: sorted_df = pd.merge(sorted(s1), sorted(s2), on='grp')<|endoftext|>"
"sending http headers to `client`: client.request('HEAD', '/')<|endoftext|>"
"Format a datetime string `when` to extract date only: datetime.strptime(when, '%d%m%Y')<|endoftext|>"
split a multi-line string `inputString` into separate strings: output = [token.strip() for token in inputString.split('<|endoftext|>
"Split a multi-line string ` a \n b \r\n c ` by new line character `\n`: re.split('\\n', a, 1)<|endoftext|>"
"concatenate elements of list `b` by a colon "":"": [''.join(x) for x in b]<|endoftext|>"
get the first object from a queryset in django model `Entry`: entries = Entry.objects.order_by('-date')[0]<|endoftext|>
"Calculate sum over all rows of 2D numpy array: np.einsum('ji,jk->ij', a, a)<|endoftext|>"
enable warnings using action 'always': pg.options.mode.='wxPGTables'<|endoftext|>
"concatenate items of list `l` with a space ' ': [' {0} {1}'.format(x, y) for x, y in l]<|endoftext|>"
run script 'hello.py' with argument 'htmlfilename.htm' on terminal using python executable: os.system('hello.py %s' % ('htmlfilename.htm'))<|endoftext|>
:<|endoftext|>
"convert a string `my_string` with dot and comma into a float number `my_float`: float(my_string.replace(',', '.'))<|endoftext|>"
"convert a string `123,456.908` with dot and comma into a floating number: print(float(re.sub('\\D+', '', '123,456.908').replace(',', '.')))<|endoftext|>"
"set pythonpath in python script.: sys.path.insert(0, '/path/to/python')<|endoftext|>"
"split string 'Words, words, words.' using a regex '(\\W+)': re.findall('\\W+', 'Words, words, words.')<|endoftext|>"
"open a file `Output.txt` in append mode: open('Output.txt', 'a+')<|endoftext|>"
"download a file ""http://www.example.com/songs/mp3.mp3"" over HTTP and save to ""mp3.mp3"": download_url(""http://www<|endoftext|>"
download a file `url` over HTTP and save to `file_name`: requests.get(url).content<|endoftext|>
"download a file 'http://www.example.com/' over HTTP: urllib.request.urlretrieve('http://www.example.com/', 'test.ext')<|endoftext|>"
"download a file `url` over HTTP: urlretrieve(url,'myfile.ext', reporthook=None)<|endoftext|>"
"download a file `url` over HTTP and save to ""10MB"": urllib.request.urlretrieve(url, '10MB.txt')<|endoftext|>"
"argparse add argument with flag '--version' and version action of '%(prog)s 2.0' to parser `parser`: parser.add_argument('--version', action='version', version='%(prog)s 2.0')<|endoftext|>"
"remove key 'c' from dictionary `d`: [(key, d.get(key)) for key in d if key!= 'c']<|endoftext|>"
"Create new DataFrame object by merging columns ""key"" of  dataframes `split_df` and `csv_df` and rename the columns from dataframes `split_df` and `csv_df` with suffix `_left` and `_right` respectively: df_merge = pd.merge(split_df, csv_df, how='outer', on=['key'])<|endoftext|>"
Split a string `s` by space with `4` splits: [''.join(x.split()) for x in s.split()]<|endoftext|>
read keyboard-input: $input: uppercase<|endoftext|>
enable debug mode on Flask application `app`: app.debug = True<|endoftext|>
python save list `mylist` to file object 'save.txt': mylist.tofile('save.txt')<|endoftext|>
"Multiply a matrix `P` with a 3d tensor `T` in scipy: scipy.matmul(P, T[..., None, None])<|endoftext|>"
"Create 3d array of zeroes of size `(3,3,3)`: np.zeros((3, 3, 3))<|endoftext|>"
cut off the last word of a sentence `content`: content.split()[:-1]<|endoftext|>
convert scalar `x` to array: numpy.array([x])<|endoftext|>
sum all elements of nested list `L`: sum(i for i in L)<|endoftext|>
"convert hex string '470FC614' to a float number: struct.unpack('<f', struct.pack('<I', int('470FC614', 16)))<|endoftext|>"
"Multiple each value by `2` for all keys in a dictionary `my_dict`: my_dict = {k: 2 * v for k, v in my_dict.items()}<|endoftext|>"
running bash script 'sleep.sh': subprocess.call(['sleep.sh'])<|endoftext|>
"Join elements of list `l` with a comma `,`: [tuple(x) for x in l]<|endoftext|>"
"make a comma-separated string from a list `myList`: "", "".join(myList)<|endoftext|>"
